created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-24 13:02:10 UTC,⚡️Top Projects with Market Capitalization of $5B-$15B 24 November 2021 $LINK $MATIC $ALGO $UNI $EGLD $AXS $ATOM $VET $TRX $FTT $HBAR $NEAR $SAND $THETA $MANA  https://t.co/a9FkyhZTWJ,crypto_dep,[],"['link', 'matic', 'algo', 'uni', 'egld', 'axs', 'atom', 'vet', 'trx', 'ftt', 'hbar', 'near', 'sand', 'theta', 'mana']",17,87,7
2021-11-23 12:22:32 UTC,⚡️TOP 10 #DeFI DApps by Users Activity (30d) 23 November 2021 $CAKE #1INCH $RAY $UNI $SUSHI $BANANA $FINS $BSW $ORCA  https://t.co/tSSGIUeXiF,crypto_dep,"['defi', '1inch']","['cake', 'ray', 'uni', 'sushi', 'banana', 'fins', 'bsw', 'orca']",66,233,50
2021-11-08 15:13:29 UTC,⚡️Top Projects by Weekly #TVL Performance 8 November 2021 $GRO $IDLE $CWS $WHEAT $ALPHA $OPIUM $UNI $SCARE $LRC $TIME $SNY $REF $VEE $SLICE $PNG  https://t.co/ZtRBLd1680,crypto_dep,['tvl'],"['gro', 'idle', 'cws', 'wheat', 'alpha', 'opium', 'uni', 'scare', 'lrc', 'time', 'sny', 'ref', 'vee', 'slice', 'png']",19,86,15
2021-11-03 10:08:01 UTC,⚡️Top Projects with Market Capitalization of $5B - $15B 3 November 2021 $LINK $MATIC $UNI $ALGO $ATOM $VET $AXS $ICP $TRX $THETA $FTT $FTM $CRO $EGLD $XTZ  https://t.co/6iTU8LkLQo,crypto_dep,[],"['link', 'matic', 'uni', 'algo', 'atom', 'vet', 'axs', 'icp', 'trx', 'theta', 'ftt', 'ftm', 'cro', 'egld', 'xtz']",16,73,18
2021-10-28 16:24:34 UTC,"⚡️ $PETS has been listed on ,  and    🔸IDO price: $0.30           🔸Current Price: $1.73  👉  https://t.co/fNt7QhjQWL  https://t.co/60nq027qeg",crypto_dep,[],['pets'],14,41,4
2021-10-19 09:46:34 UTC,⚡️TOP 10 DApps #DEX by Users in 30 days 19 October 2021 $CAKE $UNI $JUST $TRX $BANANA #1INCH $SUSHI $BSW $QUICK $OOE $SHIB $BONE  https://t.co/OTkDM2VHKk,crypto_dep,"['dex', '1inch']","['cake', 'uni', 'just', 'trx', 'banana', 'sushi', 'bsw', 'quick', 'ooe', 'shib', 'bone']",82,323,77
2021-10-12 10:07:06 UTC,⚡️Top Exchange Tokens by Market Capitalization 12 October 2021 $BNB $UNI $FTT $CRO $CAKE $OKB $SUSHI $RUNE $SNX $HT $CRV $REN $SRM $KCS $BNT  https://t.co/7uz9a88gon,crypto_dep,[],"['bnb', 'uni', 'ftt', 'cro', 'cake', 'okb', 'sushi', 'rune', 'snx', 'ht', 'crv', 'ren', 'srm', 'kcs', 'bnt']",7,36,5
2021-09-28 15:22:33 UTC,⚡️Top #DEFI Projects by Developer Activity 28 September 2021 $DFI $MDX $CAKE $SNX $LQTY $NKR $BAL $UMA $FOX $UNI  https://t.co/skvQRbZOtc,crypto_dep,['defi'],"['dfi', 'mdx', 'cake', 'snx', 'lqty', 'nkr', 'bal', 'uma', 'fox', 'uni']",12,39,3
2021-09-26 13:48:05 UTC,⚡️Coin of the day by social activity -  $UNI 26 September 2021  https://t.co/7RLJKytWWc,crypto_dep,[],['uni'],1,34,2
2021-09-24 15:45:14 UTC,⚡️​​Top Projects with Fully Diluted Market Cap under $50B 24 September 2021 $LUNA $DOT $FLOW $LINK $ICP $UNI $AXS $ALGO $FTT $HBAR $XLM $LTC $DYDX $ATOM $MATIC  https://t.co/F0MQoXv9Ep,crypto_dep,[],"['luna', 'dot', 'flow', 'link', 'icp', 'uni', 'axs', 'algo', 'ftt', 'hbar', 'xlm', 'ltc', 'dydx', 'atom', 'matic']",15,60,19
2021-09-21 12:49:49 UTC,⚡️Top Projects with Market Capitalization under $50B  21 September 2021 $SOL $DOT $AVAX $LUNA $UNI $LINK $ATOM $ALGO $FIL $ICP $MATIC $FTT $TRX $VET $THETA  https://t.co/UjJZeIDWei,crypto_dep,[],"['sol', 'dot', 'avax', 'luna', 'uni', 'link', 'atom', 'algo', 'fil', 'icp', 'matic', 'ftt', 'trx', 'vet', 'theta']",12,43,8
2021-09-16 14:24:34 UTC,⚡️ $PBX has been listed on  and  today  🔸 IDO Price: $0.0003 🔸 Current Price: $0.01 (≈x33)  👉  https://t.co/JSZnr7ZkRi  https://t.co/sw6YPgP1ba,crypto_dep,[],['pbx'],0,15,0
2021-09-15 15:17:05 UTC,⚡️TOP 10 DEXes by Users in 30 days 15 September 2021 $UNI $QUICK $SUSHI $JOE $LZ $BSCX $MDX $BANANA  https://t.co/9Vl0ArYeXB,crypto_dep,[],"['uni', 'quick', 'sushi', 'joe', 'lz', 'bscx', 'mdx', 'banana']",13,49,5
2021-09-07 16:09:53 UTC,"⚡️ $FNDZ to conduct its #IDO on  on September 14th, at 12:00 PM UTC  After the IDO, $FNDZ tokens will be listed on  $UNI &amp;  $CAKE  👉  https://t.co/BCIrtgDkD1    Join FNDZ 🗣  https://t.co/dLiwCtiZg4  https://t.co/Bvaqa6vIpm",crypto_dep,['ido'],"['fndz', 'fndz', 'uni', 'cake']",14,47,3
2021-09-02 11:13:21 UTC,"⚡️  $KFT will be listed on  $UNI and  $CAKE today, at 12:00 PM UTC  #KnitFinance is a decentralized protocol for creating cross-chain wrappers for the top multi-class assets.  👉  https://t.co/7XaSxWjXRz  https://t.co/Dy3kyWwf0q",crypto_dep,['knitfinance'],"['kft', 'uni', 'cake']",1,14,1
